> print (meltedAllData)
       subject           activity                        variable         value
88           1            WALKING               tBodyAcc-mean()-X  2.769154e-01
89           1            WALKING               tBodyAcc-mean()-X  2.053074e-01
90           1            WALKING               tBodyAcc-mean()-X  3.069960e-01
91           1            WALKING               tBodyAcc-mean()-X  2.815132e-01
92           1            WALKING               tBodyAcc-mean()-X  3.038854e-01
93           1            WALKING               tBodyAcc-mean()-X  3.541929e-01
94           1            WALKING               tBodyAcc-mean()-X  2.222978e-01
95           1            WALKING               tBodyAcc-mean()-X  2.144813e-01
96           1            WALKING               tBodyAcc-mean()-X  3.273166e-01
97           1            WALKING               tBodyAcc-mean()-X  3.490591e-01
98           1            WALKING               tBodyAcc-mean()-X  2.646817e-01
99           1            WALKING               tBodyAcc-mean()-X  2.843175e-01
100          1            WALKING               tBodyAcc-mean()-X  2.217267e-01
101          1            WALKING               tBodyAcc-mean()-X  2.909715e-01
102          1            WALKING               tBodyAcc-mean()-X  2.610808e-01
103          1            WALKING               tBodyAcc-mean()-X  2.524250e-01
104          1            WALKING               tBodyAcc-mean()-X  3.587866e-01
105          1            WALKING               tBodyAcc-mean()-X  2.569350e-01
106          1            WALKING               tBodyAcc-mean()-X  2.985541e-01
107          1            WALKING               tBodyAcc-mean()-X  3.080458e-01
108          1            WALKING               tBodyAcc-mean()-X  2.035617e-01
109          1            WALKING               tBodyAcc-mean()-X  2.805609e-01
110          1            WALKING               tBodyAcc-mean()-X  3.321693e-01
111          1            WALKING               tBodyAcc-mean()-X  2.870302e-01
112          1            WALKING               tBodyAcc-mean()-X  3.015941e-01
113          1            WALKING               tBodyAcc-mean()-X  2.460892e-01
114          1            WALKING               tBodyAcc-mean()-X  2.927244e-01
115          1            WALKING               tBodyAcc-mean()-X  3.315600e-01
116          1            WALKING               tBodyAcc-mean()-X  2.020106e-01
117          1            WALKING               tBodyAcc-mean()-X  3.036349e-01
118          1            WALKING               tBodyAcc-mean()-X  3.591936e-01
119          1            WALKING               tBodyAcc-mean()-X  2.244275e-01
120          1            WALKING               tBodyAcc-mean()-X  2.399583e-01
121          1            WALKING               tBodyAcc-mean()-X  2.897275e-01
122          1            WALKING               tBodyAcc-mean()-X  3.083054e-01
123          1            WALKING               tBodyAcc-mean()-X  3.274654e-01
124          1            WALKING               tBodyAcc-mean()-X  2.384110e-01
125          1            WALKING               tBodyAcc-mean()-X  1.801943e-01
126          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  3.584553e-01
127          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  3.017151e-01
128          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.815517e-01
129          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.739557e-01
130          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.999572e-01
131          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.653738e-01
132          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.776331e-01
133          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.668802e-01
134          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.107005e-01
135          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.852131e-01
136          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  4.699458e-01
137          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.352844e-01
138          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  1.669136e-01
139          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  4.456210e-01
140          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.317992e-01
141          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.813495e-01
142          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  3.624825e-01
143          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  4.350369e-01
144          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  3.511988e-01
145          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  1.304612e-01
146          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  3.127763e-01
147          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  4.259561e-01
148          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.674986e-01
149          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  1.543942e-01
150          1 WALKING_DOWNSTAIRS               tBodyAcc-mean()-X  2.053515e-01
151          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  1.836037e-01
152          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.791827e-01
153          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  3.011624e-01
154          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.934110e-01
155          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.303099e-01
156          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  1.585165e-01
157          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.152453e-01
158          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.714774e-01
159          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  1.408588e-01
160          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.314595e-01
161          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.956929e-01
162          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  3.440829e-01
163          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  3.329925e-01
164          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  3.167215e-01
165          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.742549e-01
166          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.603440e-01
167          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.777111e-01
168          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.262276e-01
169          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.596038e-01
170          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  3.440282e-01
171          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  3.705203e-01
172          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.732136e-01
173          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.312456e-01
174          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.502553e-01
175          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.303375e-01
176          1   WALKING_UPSTAIRS               tBodyAcc-mean()-X  2.296956e-01
177          1           STANDING               tBodyAcc-mean()-X  2.607616e-01
178          1           STANDING               tBodyAcc-mean()-X  2.898170e-01
179          1           STANDING               tBodyAcc-mean()-X  2.845113e-01
180          1           STANDING               tBodyAcc-mean()-X  2.852744e-01
181          1           STANDING               tBodyAcc-mean()-X  2.723966e-01
182          1           STANDING               tBodyAcc-mean()-X  2.658058e-01
183          1           STANDING               tBodyAcc-mean()-X  2.784260e-01
184          1           STANDING               tBodyAcc-mean()-X  2.794251e-01
185          1           STANDING               tBodyAcc-mean()-X  2.752608e-01
186          1           STANDING               tBodyAcc-mean()-X  2.768745e-01
187          1           STANDING               tBodyAcc-mean()-X  2.792417e-01
188          1           STANDING               tBodyAcc-mean()-X  2.788478e-01
189          1           STANDING               tBodyAcc-mean()-X  2.736822e-01
190          1           STANDING               tBodyAcc-mean()-X  2.739490e-01
191          1           STANDING               tBodyAcc-mean()-X  3.223631e-01
192          1           STANDING               tBodyAcc-mean()-X  2.745262e-01
193          1           STANDING               tBodyAcc-mean()-X  2.738065e-01
194          1           STANDING               tBodyAcc-mean()-X  2.766427e-01
195          1           STANDING               tBodyAcc-mean()-X  2.743639e-01
196          1           STANDING               tBodyAcc-mean()-X  2.747537e-01
197          1           STANDING               tBodyAcc-mean()-X  2.787204e-01
198          1           STANDING               tBodyAcc-mean()-X  2.793800e-01
199          1           STANDING               tBodyAcc-mean()-X  2.773435e-01
200          1           STANDING               tBodyAcc-mean()-X  2.779628e-01
201          1           STANDING               tBodyAcc-mean()-X  2.799781e-01
202          1           STANDING               tBodyAcc-mean()-X  2.797011e-01
203          1            SITTING               tBodyAcc-mean()-X  2.629762e-01
204          1            SITTING               tBodyAcc-mean()-X  2.981176e-01
205          1            SITTING               tBodyAcc-mean()-X  2.772745e-01
206          1            SITTING               tBodyAcc-mean()-X  2.786669e-01
207          1            SITTING               tBodyAcc-mean()-X  2.787320e-01
208          1            SITTING               tBodyAcc-mean()-X  2.755919e-01
209          1            SITTING               tBodyAcc-mean()-X  2.783268e-01
210          1            SITTING               tBodyAcc-mean()-X  2.783942e-01
211          1            SITTING               tBodyAcc-mean()-X  2.775096e-01
212          1            SITTING               tBodyAcc-mean()-X  2.779840e-01
213          1            SITTING               tBodyAcc-mean()-X  2.756444e-01
214          1             LAYING               tBodyAcc-mean()-X  3.936536e-01
215          1             LAYING               tBodyAcc-mean()-X  3.193238e-01
216          1             LAYING               tBodyAcc-mean()-X  2.790369e-01
217          1             LAYING               tBodyAcc-mean()-X  2.816654e-01
218          1             LAYING               tBodyAcc-mean()-X  2.771416e-01
219          1             LAYING               tBodyAcc-mean()-X  2.789011e-01
220          1             LAYING               tBodyAcc-mean()-X  2.797283e-01
221          1             LAYING               tBodyAcc-mean()-X  2.760395e-01
222          1             LAYING               tBodyAcc-mean()-X  2.783163e-01
223          1             LAYING               tBodyAcc-mean()-X  2.757526e-01
224          1             LAYING               tBodyAcc-mean()-X  2.788509e-01
225          1             LAYING               tBodyAcc-mean()-X  2.820207e-01
226          1            SITTING               tBodyAcc-mean()-X  3.107631e-01
227          1            SITTING               tBodyAcc-mean()-X  2.645391e-01
228          1            SITTING               tBodyAcc-mean()-X  2.696351e-01
229          1            SITTING               tBodyAcc-mean()-X  2.725935e-01
230          1            SITTING               tBodyAcc-mean()-X  2.768283e-01
231          1            SITTING               tBodyAcc-mean()-X  2.761599e-01
232          1            SITTING               tBodyAcc-mean()-X  2.757531e-01
233          1            SITTING               tBodyAcc-mean()-X  2.779065e-01
234          1            SITTING               tBodyAcc-mean()-X  2.755494e-01
235          1            SITTING               tBodyAcc-mean()-X  2.777820e-01
236          1            SITTING               tBodyAcc-mean()-X  2.772577e-01
237          1            SITTING               tBodyAcc-mean()-X  2.742615e-01
238          1             LAYING               tBodyAcc-mean()-X -6.623887e-02
239          1             LAYING               tBodyAcc-mean()-X -8.328706e-02
240          1             LAYING               tBodyAcc-mean()-X  2.591151e-01
241          1             LAYING               tBodyAcc-mean()-X  2.923077e-01
242          1             LAYING               tBodyAcc-mean()-X  3.258864e-01
243          1             LAYING               tBodyAcc-mean()-X  3.000531e-01
244          1             LAYING               tBodyAcc-mean()-X  2.880942e-01
245          1             LAYING               tBodyAcc-mean()-X  2.767659e-01
246          1             LAYING               tBodyAcc-mean()-X  2.438979e-01
247          1             LAYING               tBodyAcc-mean()-X  1.804785e-01
248          1             LAYING               tBodyAcc-mean()-X  2.089642e-01
249          1            WALKING               tBodyAcc-mean()-X  2.501258e-01
250          1            WALKING               tBodyAcc-mean()-X  2.732428e-01
 [ reached getOption("max.print") -- omitted 813371 rows ]
